Species
Crinia_bilingua
Hyperolius_tuberilinguis
Kassinula_wittei
Microhyla_perparva
Genyophryne_thomsoni
Fejervarya_teraiensis
Strongylopus_springbokensis
Breviceps_rosei
Poyntonophrynus_lughensis
Hyperolius_mariae
Sclerophrys_kassasii
Phrynomantis_bifasciatus
Scinax_elaeochrous
Uperoleia_fusca
Gastrophryne_olivacea
Telmatobius_peruvianus
Kassina_maculata
Colostethus_argyrogaster
Microhyla_marmorata
Litoria_alboguttata
Sclerophrys_kerinyagae
Afrixalus_stuhlmanni
Theloderma_andersoni
Neobatrachus_kunapalari
Pleurodema_marmoratum
Telmatobius_marmoratus
Leptolalax_aereus
Sclerophrys_pentoni
Scinax_duartei
Breviceps_fichus
Hyperolius_pictus
Paracassina_obscura
Kurixalus_idiootocus
Corythomantis_greeningi
Leptopelis_viridis
Ophryophryne_synoria
Ptychadena_anchietae
Pseudopaludicola_mystacalis
Bufo_tibetanus
Hypsiboas_pardalis
Dendropsophus_anataliasiasi
Litoria_brevipes
Hypsiboas_rubracylus
Hypsiboas_wavrini
Hyperolius_sheldricki
Amphiuma_tridactylum
Tomopterna_cryptotis
Hyperolius_nasicus
Hyperolius_argus
Necturus_punctatus
Leptolalax_pictus
Telmatobius_jelskii
Litoria_darlingtoni
Rhinella_ceratophrys
Ptychadena_cooperi
Copiula_rivularis
Ptychadena_pumilio
Hyperolius_quinquevittatus
Necturus_maculosus
Capensibufo_tradouwi
Nanorana_ventripunctata
Holoaden_luederwaldti
Leptopelis_concolor
Crinia_remota
Neobatrachus_sudelli
Batrachuperus_yenyuanensis
Pithecopus_nordestinus
Leptopelis_anchietae
Hypsiboas_alboniger
Phrynoidis_juxtaspera
Phrynobatrachus_minutus
Hypsiboas_dentei
Fejervarya_syhadrensis
Hypsiboas_tepuianus
Pseudis_cardosoi
Hyla_walkeri
Microhyla_annamensis
Phrynobatrachus_mababiensis
Hypsiboas_picturatus
Odontophrynus_lavillai
Hypsiboas_pulchellus
Litoria_maculosa
Luetkenotyphlus_brasiliensis
Babina_chapaensis
Mertensophryne_nairobiensis
Phyllomedusa_iheringii
Litoria_platycephala
Ceratophrys_joazeirensis
Elachistocleis_piauiensis
Borneophrys_edwardinae
Litoria_raniformis
Melanophryniscus_cupreuscapularis
Litoria_aurea
Hyperolius_marginatus
Hypsiboas_goianus
Hynobius_yatsui
Pseudacris_maculata
Pelophylax_bedriagae
Pseudobranchus_axanthus
Afrixalus_dorsalis
Breviceps_poweri
Phrynobatrachus_scheffleri
Hypsiboas_raniceps
Allobates_sumtuosus
Huia_sumatrana
Tomopterna_tuberculosa
Ptychadena_uzungwensis
Physalaemus_riograndensis
Hyloxalus_peruvianus
Calyptocephalella_gayi
Hylarana_similis
Brachytarsophrys_intermedia
Uperoleia_littlejohni
Pseudobranchus_striatus
Occidozyga_lima
Phrynobatrachus_acridoides
Hyla_arenicolor
Scinax_catharinae
Litoria_maini
Pelophylax_hubeiensis
Leptolalax_heteropus
Occidozyga_celebensis
Proceratophrys_goyana
Sclerophrys_xeros
Centrolene_geckoideum
Ptychadena_grandisonae
Ophryophryne_microstoma
Bufotes_luristanicus
Tomopterna_elegans
Phrynobatrachus_kinangopensis
Cacosternum_capense
Neurergus_strauchii
Tomopterna_luganga
Afrixalus_crotalus
Hypodactylus_mantipus
Melanophryniscus_devincenzii
Theloderma_spinosum
Lithobates_septentrionalis
Breviceps_macrops
Uperoleia_micromeles
Liangshantriton_taliangensis
Hyla_euphorbiacea
Hoplobatrachus_rugulosus
Hyla_gratiosa
Limnonectes_liui
Ptychadena_perplicata
Neobatrachus_centralis
Rana_pretiosa
Sclerophrys_arabica
Neurergus_crocatus
Dendropsophus_columbianus
Hyperolius_camerunensis
Kassina_senegalensis
Leptolalax_oshanensis
Scinax_v-signatus
Rhacophorus_dugritei
Occidozyga_floresiana
Dendropsophus_rubicundulus
Pleurodema_diplolister
Rhinella_veredas
Crinia_sloanei
Scinax_acuminatus
Hyperolius_nitidulus
Uperoleia_lithomoda
Xenopus_amieti
Leptodactylus_syphax
Kaloula_rugifera
Sclerophrys_langanoensis
Neurergus_kaiseri
Hyla_versicolor
Pelophylax_plancyi
Tomopterna_natalensis
Typhlonectes_natans
Scinax_berthae
Incilius_alvarius
Anaxyrus_compactilis
Hyperolius_marmoratus
Pelophylax_chosenicus
Ptychadena_nilotica
Rupirana_cardosoi
Platymantis_guppyi
Limnodynastes_lignarius
Poyntonophrynus_damaranus
Telmatobius_rimac
Scinax_argyreornatus
Xenopus_muelleri
Indosylvirana_milleti
Uperoleia_capitulata
Notaden_bennettii
Paracassina_kounhiensis
Scinax_blairi
Neobatrachus_wilsmorei
Scarthyla_vigilans
Scinax_trilineatus
Anaxyrus_cognatus
Sclerophrys_buchneri
Hyperolius_schoutedeni
Centrolene_peristictum
Uperoleia_minima
Babina_adenopleura
Pseudopaludicola_ternetzi
Hyperolius_semidiscus
Gyrinophilus_porphyriticus
Litoria_impura
Litoria_dahlii
Theloderma_bambusicolum
Hylarana_moellendorffi
Ptychadena_straeleni
Litoria_fallax
Kassina_cassinoides
Pristimantis_riveti
Tomopterna_wambensis
Allobates_conspicuus
Hyperolius_horstockii
Dendropsophus_gaucheri
