"","mean_2b","mean_3b","diff_means","sd_2b","sd_3b","diff_sd","cor"
"bio1",14.1304842727884,14.544132321642,-0.413648048853636,14.0934140435269,13.9910615954124,0.102352448114514,0.98452176678288
"bio2",22.714761138484,21.7045043266693,1.01025681181465,6.03288851954994,5.72906710845852,0.303821411091413,0.91626140380572
"bio3",54.8529409470313,53.6716446883712,1.18129625866017,13.2559476202419,13.8567369320132,-0.600789311771253,0.953261149994639
"bio4",810.900895409922,826.937941780224,-16.0370463703017,482.556089180048,501.591688445641,-19.0355992655936,0.983632926423003
"bio5",35.949893126598,36.074313202092,-0.124420075493958,10.7289075971581,10.476320270601,0.252587326557036,0.945325899019107
"bio6",-8.51996177735889,-7.70962854068821,-0.810333236670681,20.6429880210451,20.5138703282763,0.129117692768794,0.982992866598496
"bio7",44.4698558730423,43.7839427700173,0.685913103024966,16.504464848388,16.8506033271572,-0.346138478769188,0.971293942715812
"bio8",17.8557754950362,17.6964195693203,0.159355925715843,13.4194115402178,13.709949707089,-0.290538166871194,0.887092687526251
"bio9",11.0067119525207,11.6161823228226,-0.609470370301914,18.1996182049523,18.3572068615734,-0.157588656621069,0.93835099905135
"bio10",24.0239398657044,24.6628361326699,-0.638896266965528,10.0806257879685,9.88127489987814,0.199350888090375,0.96618262292539
"bio11",4.3165761715548,4.51586113550135,-0.199284963946554,18.5385814678489,18.6430429239813,-0.104461456132444,0.988106077271901
"bio12",824.406349318212,840.069779631992,-15.6634303137804,773.646256055688,734.721463331468,38.9247927242195,0.949376326995719
"bio13",143.833293398059,142.921306228989,0.911987169069846,140.999630389095,133.880677540485,7.11895284860981,0.919322538417632
"bio14",22.7238880497842,24.1473404698921,-1.4234524201079,32.8290521379701,31.6838588619616,1.14519327600851,0.888113288367212
"bio15",62.2586543795192,59.5834704537888,2.6751839257304,35.9772084540032,34.2736534487258,1.70355500527742,0.900060442092502
"bio16",365.300616953654,369.14303478417,-3.84241783051635,355.795889584945,342.434054954773,13.3618346301717,0.939654710226172
"bio17",84.9619885444054,88.0873054789018,-3.12531693449638,114.855475804635,108.445305887259,6.4101699173758,0.906098159824735
"bio18",232.682298081686,236.640419129583,-3.9581210478967,230.733271933951,223.93819552114,6.79507641281023,0.894040718197683
"bio19",159.965424629071,162.9215644142,-2.95613978512895,231.592450489881,220.294189177737,11.2982613121447,0.844047627734649
