"","mean_2b","mean_3b","diff_means","sd_2b","sd_3b","diff_sd","cor"
"bio1",10.6259226415862,10.9135072779373,-0.287584636351099,14.6884320759885,14.5792934648373,0.109138611151158,0.996603088407003
"bio2",23.4087421538417,22.6027568771075,0.805985276734248,6.08317569050559,5.93205919556365,0.151116494941935,0.942944631159499
"bio3",55.4987055591291,54.5286247071114,0.970080852017688,13.1051829424588,13.7831857226096,-0.678002780150845,0.966745863669511
"bio4",832.619731021907,847.560187697822,-14.9404566759152,512.332542849919,530.324947947879,-17.9924050979599,0.991714498289633
"bio5",32.5600160093366,32.5811998660498,-0.0211838567132503,10.3813595036484,10.1096758701496,0.271683633498851,0.977245744728868
"bio6",-13.0158241465216,-12.5818210574985,-0.434003089023101,22.3221125009188,22.2324579899344,0.0896545109844205,0.994060284214544
"bio7",45.575840672878,45.1630214819488,0.412819190929213,17.5894525173655,17.9964059776595,-0.406953460293959,0.98330405562268
"bio8",16.054182169252,16.1681475734287,-0.113965404176692,12.4432381551737,12.5490666649789,-0.105828509805171,0.925201942341806
"bio9",6.42987711810686,6.52164270754455,-0.0917655894376885,19.3980778706231,19.6197228136575,-0.221644943034391,0.973481501643089
"bio10",20.7970112276075,21.2372584857963,-0.440247258188776,10.0057506133364,9.80770890173568,0.198041711600771,0.990019937457964
"bio11",0.559429568398579,0.597991413903887,-0.0385618455053086,19.6034394840577,19.7238771876845,-0.120437703626759,0.996832225582206
"bio12",784.260038196589,806.400410454119,-22.1403722575305,732.197420209106,738.748632290516,-6.55121208140986,0.977061579776434
"bio13",134.265173585127,134.596493755352,-0.331320170225126,128.092797942318,127.160292893344,0.932505048974008,0.96193887649502
"bio14",21.9373977669431,23.7112748489522,-1.77387708200919,31.3442163771285,32.8105593843051,-1.46634300717663,0.924433342093181
"bio15",61.3469316446505,59.6052871737103,1.74164447094019,34.7916536178682,34.0871236622465,0.704529955621751,0.928588590591501
"bio16",344.271557416387,350.681265613521,-6.40970819713391,330.217067127421,331.190125524662,-0.973058397240607,0.973341040791063
"bio17",81.3257495457132,85.5179368514551,-4.19218730574198,108.733386337581,111.310432749145,-2.57704641156404,0.942788052017985
"bio18",232.985479824524,238.960911631836,-5.9754318073129,222.127182632443,223.074318929519,-0.947136297076639,0.928622863619223
"bio19",144.817221821132,145.795397835459,-0.978176014326863,209.749411083802,207.678532189798,2.07087889400427,0.887667596313482
