,rcp26,rcp60
,,
"Central, North-East & South Asia",0.47213589034944986,0.8869282271645034
"West, Central, East & South Africa",0.8283128637194277,5.227132966982567
Central and Western Europe,0.4383259154639279,0.6402950532884183
North Africa & Western Asia,2.451933130810292,5.834467561855426
South America,0.2765463430565278,0.5503332530267122
Eastern Europe,0.797407722785633,1.0121527999350446
Oceania,0.3455646554212205,1.318677229601545
Caribbean & Mesoamerica,0.09485418296803759,0.25679031661421264
South-East Asia,0.36791499254135296,1.0272978817992258
North America,0.7297065558059717,1.0620420680975287
