Region,Habitat,Scenario,Mean Relative Difference,Mean Land Use Change,Standard Deviation
South America,pasture,RCP2.6/SSP1-RCP2.6,0.064,-4.526,1.662424212983384
Eastern Europe,pasture,RCP2.6/SSP1-RCP2.6,15.419,1.44,6.358000843597498
Oceania,pasture,RCP2.6/SSP1-RCP2.6,-3.697,-0.545,1.8821163019792657
Caribbean & Mesoamerica,pasture,RCP2.6/SSP1-RCP2.6,-4.088,-1.555,2.364299848055754
South-East Asia,pasture,RCP2.6/SSP1-RCP2.6,-1.134,-2.622,1.39576295304728
North America,pasture,RCP2.6/SSP1-RCP2.6,7.443,1.016,2.6696315140622815
"Central, North-East & South Asia",pasture,RCP2.6/SSP1-RCP2.6,-1.023,-0.612,2.1423990117457756
"West, Central, East & South Africa",pasture,RCP6.0/SSP4-RCP6.0,-2.12,-1.105,1.1139421474625781
Central and Western Europe,pasture,RCP6.0/SSP4-RCP6.0,8.559,0.864,2.5024875821527774
North Africa & Western Asia,pasture,RCP6.0/SSP4-RCP6.0,-3.717,-0.253,3.093878335564825
South America,pasture,RCP6.0/SSP4-RCP6.0,-2.175,-1.359,1.9194694820494385
Eastern Europe,pasture,RCP6.0/SSP4-RCP6.0,24.811,2.391,5.120817445018765
Oceania,pasture,RCP6.0/SSP4-RCP6.0,-2.801,-0.564,3.874900502512543
Caribbean & Mesoamerica,pasture,RCP6.0/SSP4-RCP6.0,-8.55,-2.229,4.157823448836168
South-East Asia,pasture,RCP6.0/SSP4-RCP6.0,-0.207,-0.985,1.3950516692642103
North America,pasture,RCP6.0/SSP4-RCP6.0,12.566,1.096,3.6614726705776803
"Central, North-East & South Asia",pasture,RCP6.0/SSP4-RCP6.0,-3.149,-0.83,3.9701177797922207
